년도,주,연령,검출률
2022,1,0-6,0
2022,2,0-6,0
2022,3,0-6,0
2022,4,0-6,0
2022,5,0-6,0
2022,6,0-6,0
2022,7,0-6,0
2022,8,0-6,0
2022,9,0-6,0
2022,10,0-6,0
2022,11,0-6,0
2022,12,0-6,0
2022,13,0-6,0
2022,14,0-6,0
2022,15,0-6,0
2022,16,0-6,0
2022,17,0-6,0
2022,18,0-6,0
2022,19,0-6,0
2022,20,0-6,0
2022,21,0-6,0
2022,22,0-6,0
2022,23,0-6,0
2022,24,0-6,0
2022,25,0-6,0
2022,26,0-6,0
2022,27,0-6,0
2022,28,0-6,0
2022,29,0-6,0
2022,30,0-6,4.2
2022,31,0-6,1.3
2022,32,0-6,4.4
2022,33,0-6,0
2022,34,0-6,1.8
2022,35,0-6,1.3
2022,36,0-6,0.9
2022,37,0-6,0
2022,38,0-6,1.1
2022,39,0-6,0.7
2022,40,0-6,0.6
2022,41,0-6,0
2022,42,0-6,0
2022,43,0-6,0.6
2022,44,0-6,0.7
2022,45,0-6,0.7
2022,46,0-6,1
2022,47,0-6,0
2022,48,0-6,1.5
2022,49,0-6,1.5
2022,50,0-6,2.9
2022,51,0-6,10.1
2022,52,0-6,17.6
2022,53,0-6,16.1
2023,1,0-6,16.5
2023,2,0-6,10.9
2023,3,0-6,10.3
2023,4,0-6,4.3
2023,5,0-6,6.8
2023,6,0-6,8.7
2023,7,0-6,3.4
2023,8,0-6,2.2
2023,9,0-6,2.4
2023,10,0-6,3.7
2023,11,0-6,0.6
2023,12,0-6,3.8
2023,13,0-6,1.5
2023,14,0-6,3.2
2023,15,0-6,2.1
2023,16,0-6,3.4
2023,17,0-6,5.7
2023,18,0-6,7.5
2023,19,0-6,8.4
2023,20,0-6,8.3
2023,21,0-6,6.1
2023,22,0-6,5.1
2023,23,0-6,3
2023,24,0-6,5.3
2023,25,0-6,1
2023,26,0-6,3
2023,27,0-6,2
2023,28,0-6,2.9
2023,29,0-6,2.8
2023,30,0-6,7.1
2023,31,0-6,4.1
2023,32,0-6,4.2
2023,33,0-6,2
2023,34,0-6,0
2023,35,0-6,0.7
2023,36,0-6,2.5
2023,37,0-6,3.1
2023,38,0-6,7.3
2023,39,0-6,14
2023,40,0-6,10.8
2023,41,0-6,14.5
2023,42,0-6,21.7
2023,43,0-6,18.6
2023,44,0-6,17.4
2023,45,0-6,18.6
2023,46,0-6,14.2
2023,47,0-6,23.5
2023,48,0-6,23.3
2023,49,0-6,21.9
2023,50,0-6,24.7
2023,51,0-6,21.5
2023,52,0-6,20.8
2024,1,0-6,23.7
2024,2,0-6,16.8
2024,3,0-6,16.8
2024,4,0-6,13.4
2024,5,0-6,19.6
2024,6,0-6,9.8
2024,7,0-6,12.9
2024,8,0-6,5.4
2024,9,0-6,3.8
2024,10,0-6,8
2024,11,0-6,4.5
2024,12,0-6,3.7
2024,13,0-6,4.3
2024,14,0-6,5.7
2024,15,0-6,5
2024,16,0-6,1.4
2024,17,0-6,1.5
2024,18,0-6,0
2024,19,0-6,0
2024,20,0-6,0
2024,21,0-6,0
2024,22,0-6,1
2024,23,0-6,1
2024,24,0-6,0
2024,25,0-6,0
2024,26,0-6,1
2024,27,0-6,0
2024,28,0-6,1.2
2024,29,0-6,0
2024,30,0-6,0
2024,31,0-6,2.3
2024,32,0-6,2.2
2024,33,0-6,0
2024,34,0-6,1.2
2024,35,0-6,1
2024,36,0-6,0
2024,37,0-6,0
2024,38,0-6,0
2024,39,0-6,0
2024,40,0-6,0
2024,41,0-6,1.2
2024,42,0-6,0
2024,43,0-6,0
2024,44,0-6,0
2024,45,0-6,1.2
2024,46,0-6,3.8
2024,47,0-6,1.1
